,unit_id,year,under_construction,comm_op,retired,under_construction_all_1980,comm_op_after_1980,permanently_suspended_1980s,unit_name,site_name,status,iso_3166_a3,subdivision_name,latitude,longitude
39,US - 373 ,1990,0,1,0,0.0,0.0,0,LASALLE-1,LASALLE,Operational,USA,IL,41.2455,-88.6691
40,US - 374 ,1980,1,0,0,1.0,1.0,0,LASALLE-2,LASALLE,Operational,USA,IL,41.2455,-88.6691
41,US - 374 ,1990,0,1,0,0.0,0.0,0,LASALLE-2,LASALLE,Operational,USA,IL,41.2455,-88.6691
42,US - 382 ,1990,0,1,0,0.0,0.0,0,WATERFORD-3,WATERFORD,Operational,USA,LA,29.9953,-90.4716
43,US - 382 ,1980,1,0,0,1.0,1.0,0,WATERFORD-3,WATERFORD,Operational,USA,LA,29.9953,-90.4716
44,US - 387 ,1990,0,1,0,0.0,0.0,0,SUSQUEHANNA-1,SUSQUEHANNA,Operational,USA,PA,41.0919,-76.1462
45,US - 387 ,1980,1,0,0,1.0,1.0,0,SUSQUEHANNA-1,SUSQUEHANNA,Operational,USA,PA,41.0919,-76.1462
46,US - 388 ,1980,1,0,0,1.0,1.0,0,SUSQUEHANNA-2,SUSQUEHANNA,Operational,USA,PA,41.0919,-76.1462
47,US - 388 ,1990,0,1,0,0.0,0.0,0,SUSQUEHANNA-2,SUSQUEHANNA,Operational,USA,PA,41.0919,-76.1462
48,US - 389 ,1990,0,1,0,0.0,0.0,0,ST. LUCIE-2,ST. LUCIE,Operational,USA,FL,27.3486,-80.2464
49,US - 389 ,1980,1,0,0,1.0,1.0,0,ST. LUCIE-2,ST. LUCIE,Operational,USA,FL,27.3486,-80.2464
50,US - 395 ,1990,0,1,0,0.0,0.0,0,SUMMER-1,VIRGIL C. SUMMER,Operational,USA,SC,34.2983,-81.3153
51,US - 395 ,1980,1,0,0,1.0,1.0,0,SUMMER-1,VIRGIL C. SUMMER,Operational,USA,SC,34.2983,-81.3153
52,US - 397 ,1980,1,0,0,1.0,1.0,0,COLUMBIA,COLUMBIA,Operational,USA,WA,46.4711,-119.3339
53,US - 397 ,1990,0,1,0,0.0,0.0,0,COLUMBIA,COLUMBIA,Operational,USA,WA,46.4711,-119.3339
54,US - 400 ,1990,0,1,0,0.0,0.0,0,HARRIS-1,SHEARON HARRIS,Operational,USA,NC,35.6334,-78.9556
