,unit_id,year,under_construction,comm_op,retired,under_construction_all_1980,comm_op_after_1980,permanently_suspended_1980s,unit_name,site_name,status,iso_3166_a3,subdivision_name,latitude,longitude
122,US - 493 ,1990,1,0,0,0.0,0.0,1,CHEROKEE-3,CHEROKEE,Construction Cancelled,USA,SC,35.0365,-81.5112
123,US - 493 ,1980,1,0,0,1.0,0.0,1,CHEROKEE-3,CHEROKEE,Construction Cancelled,USA,SC,35.0365,-81.5112
128,US - 508 ,1980,1,0,0,1.0,0.0,1,WNP-3,SATSOP,Construction Cancelled,USA,WA,46.9598,-123.4696
129,US - 508 ,1990,1,0,0,0.0,0.0,1,WNP-3,SATSOP,Construction Cancelled,USA,WA,46.9598,-123.4696
130,US - 509 ,1990,1,0,0,0.0,0.0,1,WNP-5,SATSOP,Construction Cancelled,USA,WA,46.9598,-123.4696
131,US - 509 ,1980,1,0,0,1.0,0.0,1,WNP-5,SATSOP,Construction Cancelled,USA,WA,46.9598,-123.4696
132,US - 513 ,1980,1,0,0,1.0,0.0,1,WNP-4,COLUMBIA,Construction Cancelled,USA,WA,46.4711,-119.3339
133,US - 513 ,1990,1,0,0,0.0,0.0,1,WNP-4,COLUMBIA,Construction Cancelled,USA,WA,46.4711,-119.3339
134,US - 518 ,1980,1,0,0,1.0,0.0,1,HARTSVILLE A-1,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
135,US - 518 ,1990,1,0,0,0.0,0.0,1,HARTSVILLE A-1,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
136,US - 519 ,1990,1,0,0,0.0,0.0,1,HARTSVILLE A-2,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
137,US - 519 ,1980,1,0,0,1.0,0.0,1,HARTSVILLE A-2,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
138,US - 520 ,1980,1,0,0,1.0,0.0,1,HARTSVILLE B-1,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
139,US - 520 ,1990,1,0,0,0.0,0.0,1,HARTSVILLE B-1,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
140,US - 521 ,1980,1,0,0,1.0,0.0,1,HARTSVILLE B-2,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
141,US - 521 ,1990,1,0,0,0.0,0.0,1,HARTSVILLE B-2,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
148,US - 546 ,1980,1,0,0,1.0,0.0,1,MARBLE HILL-1,MARBLE HILL,Construction Cancelled,USA,IN,38.600858,-85.445886
149,US - 546 ,1990,1,0,0,0.0,0.0,1,MARBLE HILL-1,MARBLE HILL,Construction Cancelled,USA,IN,38.600858,-85.445886
150,US - 547 ,1990,1,0,0,0.0,0.0,1,MARBLE HILL-2,MARBLE HILL,Construction Cancelled,USA,IN,38.600858,-85.445886
151,US - 547 ,1980,1,0,0,1.0,0.0,1,MARBLE HILL-2,MARBLE HILL,Construction Cancelled,USA,IN,38.600858,-85.445886
152,US - 553 ,1980,1,0,0,1.0,0.0,1,PHIPPS BEND-1,PHIPPS BEND,Construction Cancelled,USA,TN,36.466944,-82.8075
153,US - 553 ,1990,1,0,0,0.0,0.0,1,PHIPPS BEND-1,PHIPPS BEND,Construction Cancelled,USA,TN,36.466944,-82.8075
154,US - 554 ,1990,1,0,0,0.0,0.0,1,PHIPPS BEND-2,PHIPPS BEND,Construction Cancelled,USA,TN,36.466944,-82.8075
155,US - 554 ,1980,1,0,0,1.0,0.0,1,PHIPPS BEND-2,PHIPPS BEND,Construction Cancelled,USA,TN,36.466944,-82.8075
156,US - 556 ,1980,1,0,0,1.0,0.0,1,BLACK FOX-1,BLACK FOX,Construction Cancelled,USA,OK,36.11576,-95.55157
157,US - 556 ,1990,1,0,0,0.0,0.0,1,BLACK FOX-1,BLACK FOX,Construction Cancelled,USA,OK,36.11576,-95.55157
158,US - 557 ,1990,1,0,0,0.0,0.0,1,BLACK FOX-2,BLACK FOX,Construction Cancelled,USA,OK,36.11576,-95.55157
159,US - 557 ,1980,1,0,0,1.0,0.0,1,BLACK FOX-2,BLACK FOX,Construction Cancelled,USA,OK,36.11576,-95.55157
160,US - 566 ,1990,1,0,0,0.0,0.0,1,YELLOW CREEK-1,YELLOW CREEK,Construction Cancelled,USA,MI,34.96,-88.21
161,US - 566 ,1980,1,0,0,1.0,0.0,1,YELLOW CREEK-1,YELLOW CREEK,Construction Cancelled,USA,MI,34.96,-88.21
162,US - 567 ,1990,1,0,0,0.0,0.0,1,YELLOW CREEK-2,YELLOW CREEK,Construction Cancelled,USA,MI,34.96,-88.21
163,US - 567 ,1980,1,0,0,1.0,0.0,1,YELLOW CREEK-2,YELLOW CREEK,Construction Cancelled,USA,MI,34.96,-88.21
